capability_id,domain,capability,benchmark_behavior,neural_critic_equivalent,status,verification_level,entry_points,owner_files,data_source,journey,evidence,known_limitations,dependencies,regression_risk,last_verified,milestone,notes
"NC-GS-001","Homepage & Programming","Homepage route and publication shell","A publication homepage establishes brand, primary programming, and current coverage.","The root GitHub Pages shell composes shared header/footer and independently enhanced editorial modules.","✅","V3","/; index.html","index.html; assets/app.js; assets/home-feed.js; assets/home-curation-guard.js","published articles via assets/content-api.js; data/articles.json fallback","Open homepage → programmed module renders real published links → selected story opens its canonical shell.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared app shell; content API; published article metadata","high","2026-09-02","M1","Pre-existing capability; Milestone 1 changes no homepage behavior."
"NC-GS-002","Homepage & Programming","Lead story programming","Editors can promote one dominant lead story with image and deck.","The lead homepage slot is selected from published article homepageSlot metadata with a guarded fallback.","✅","V3","/; index.html","assets/home-feed.js; assets/home-curation-guard.js; assets/studio-news-placement.js","articles.homepage_slot; generated fallback","Open homepage → programmed module renders real published links → selected story opens its canonical shell.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared app shell; content API; published article metadata","high","2026-09-02","M1","Pre-existing capability; Milestone 1 changes no homepage behavior."
"NC-GS-003","Homepage & Programming","Secondary editorial slots","Supporting stories are intentionally programmed beside or below the lead.","Secondary and regular homepage slots render supporting published stories without duplicating the lead.","✅","V3","/; index.html","assets/home-feed.js; assets/home-curation-guard.js","published articles via assets/content-api.js; data/articles.json fallback","Open homepage → programmed module renders real published links → selected story opens its canonical shell.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared app shell; content API; published article metadata","high","2026-09-02","M1","Pre-existing capability; Milestone 1 changes no homepage behavior."
"NC-GS-004","Homepage & Programming","Latest stories feed","Readers can scan a newest-first stream of current coverage.","The homepage latest feed orders published articles and links to canonical story routes.","✅","V3","/; index.html","assets/home-feed.js; assets/content-api.js","published articles via assets/content-api.js; data/articles.json fallback","Open homepage → programmed module renders real published links → selected story opens its canonical shell.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared app shell; content API; published article metadata","high","2026-09-02","M1","Pre-existing capability; Milestone 1 changes no homepage behavior."
"NC-GS-005","Homepage & Programming","Homepage desk and topic shortcuts","Homepage programming provides paths into major desks or topics.","Curated desk links and collection modules route readers to category and What to Play surfaces.","✅","V2","/; index.html","index.html; assets/curated-collections.js; assets/home-what-to-play.js","published articles via assets/content-api.js; data/articles.json fallback","Open homepage → programmed module renders real published links → selected story opens its canonical shell.","E-SRC-REPO; E-AUDIT-PUBLIC","None observed in demonstrated scope.","shared app shell; content API; published article metadata","high","2026-09-02","M1","Pre-existing capability; Milestone 1 changes no homepage behavior."
"NC-GS-006","Homepage & Programming","Latest and popular programming modes","Readers can distinguish editorial recency from popularity-led programming.","Homepage and shared popularity modules expose Latest, Trending, and Most Read treatments.","🟡","V2","/; index.html","assets/home-feed.js; assets/popularity-signals.js","published articles via assets/content-api.js; data/articles.json fallback","Open homepage → programmed module renders real published links → selected story opens its canonical shell.","E-SRC-REPO; E-AUDIT-PUBLIC","Source and deterministic audits prove wiring, but this pass did not exercise every switch/window in a browser.","published articles; popularity RPC; analytics view signals","high","2026-09-02","M1","Pre-existing capability; Milestone 1 changes no homepage behavior."
"NC-GS-007","Homepage & Programming","Homepage latest reviews module","Recent scored reviews are discoverable directly from the homepage.","Review-tagged/format stories are selected into review programming and link to canonical reviews.","✅","V3","/; index.html","assets/home-feed.js; assets/review-intelligence.js","published articles via assets/content-api.js; data/articles.json fallback","Open homepage → programmed module renders real published links → selected story opens its canonical shell.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared app shell; content API; published article metadata","high","2026-09-02","M1","Pre-existing capability; Milestone 1 changes no homepage behavior."
"NC-GS-008","Homepage & Programming","Curated recommendations programming","Editorial recommendations highlight what readers should play.","What to Play and curated collection modules use collection metadata and ranked previews.","✅","V3","/; index.html","assets/home-what-to-play.js; assets/curated-collections.js; assets/collection-ranking-preview.js","published articles via assets/content-api.js; data/articles.json fallback","Open homepage → programmed module renders real published links → selected story opens its canonical shell.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared app shell; content API; published article metadata","high","2026-09-02","M1","Pre-existing capability; Milestone 1 changes no homepage behavior."
"NC-GS-009","Homepage & Programming","Video programming module","A dedicated homepage video module programs clips, trailers, or shows.","No owned video hub, playlist, or homepage video-programming module was found.","❌","V1","none found after homepage/article/navigation repository search","none found","none","Search templates, assets, data models, Studio fields, builders, and audits → no product video-programming journey found.","E-NEG-VIDEO","Missing dedicated capability; article prose or images do not provide a video-programming system.","No existing owner found; any future scope requires product approval.","low","2026-09-02","M1","Negative inventory only; this row does not authorize implementation."
"NC-GS-010","Homepage & Programming","Homepage newsletter acquisition","A reader can submit an email from the homepage and receive a confirmed subscription state.","The Weekly Drop form submits through the newsletter acquisition runtime and public Edge gateway.","🟡","V3","/; index.html","index.html; assets/newsletter.js; supabase/functions/public-actions/index.ts","newsletter_subscribers via public-actions Edge Function","Open homepage → enter a synthetic email → submit → real capture succeeds → source re-read/reload confirms state.","E-SRC-REPO; E-BROWSER-PUBLIC; E-PROVIDER-BLOCKED","Form rendering is browser-verified, but no synthetic email capture or reload/provider journey was authorized.","Supabase Edge Function; subscriber table; provider readiness","high","2026-09-02","M1","Pre-existing capability; Milestone 1 changes no homepage behavior."
"NC-GS-011","Navigation & Search","Global publication header","A consistent header exposes brand, primary sections, search, and account entry.","Shared app bootstrap injects the Neural Critic brand, desks, search, account, and theme controls.","✅","V3","shared header/footer; search.html; category and game links","assets/app.js; assets/publication-nav.js; assets/search-parity.js","static navigation; published article and author metadata","Use the visible navigation/search control → destination renders → canonical internal links remain usable.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared header/footer hosts; app bootstrap; content API","high","2026-09-02","M1","Pre-existing shared navigation/search capability."
"NC-GS-012","Navigation & Search","Desktop dropdown navigation","Desktop readers can expand grouped publication destinations and follow them by keyboard or pointer.","Publication navigation renders desktop triggers and menus for coverage and games.","✅","V3","shared header/footer; search.html; category and game links","assets/publication-nav.js; assets/publication-nav.css","static navigation; published article and author metadata","Use the visible navigation/search control → destination renders → canonical internal links remain usable.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared header/footer hosts; app bootstrap; content API","high","2026-09-02","M1","Pre-existing shared navigation/search capability."
"NC-GS-013","Navigation & Search","Mobile navigation","A compact mobile menu exposes the same core destinations without overflow.","Responsive navigation CSS/JS provides a mobile menu treatment.","🟡","V2","shared header/footer; search.html; category and game links","assets/publication-nav.js; assets/public-responsive.css","static navigation; published article and author metadata","Use the visible navigation/search control → destination renders → canonical internal links remain usable.","E-SRC-REPO; E-AUDIT-PUBLIC; E-MOBILE-BLOCKED","Responsive contracts are static-audited, but no real mobile viewport/device journey was available in this pass.","responsive breakpoints; shared navigation state","high","2026-09-02","M1","Pre-existing shared navigation/search capability."
"NC-GS-014","Navigation & Search","Category navigation","News, Reviews, Guides, Features, and recommendations are directly reachable.","Header/footer/category shortcuts route to canonical desk query states.","✅","V3","shared header/footer; search.html; category and game links","assets/app.js; assets/publication-nav.js; assets/search-parity.js","static navigation; published article and author metadata","Use the visible navigation/search control → destination renders → canonical internal links remain usable.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared header/footer hosts; app bootstrap; content API","high","2026-09-02","M1","Pre-existing shared navigation/search capability."
"NC-GS-015","Navigation & Search","Games navigation","Readers can reach the games directory and game discovery surfaces globally.","Global navigation links to /games/ and generated game pages.","✅","V3","shared header/footer; search.html; category and game links","assets/publication-nav.js; games/index.html; assets/games-directory.js","static navigation; published article and author metadata","Use the visible navigation/search control → destination renders → canonical internal links remain usable.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared header/footer hosts; app bootstrap; content API","high","2026-09-02","M1","Pre-existing shared navigation/search capability."
"NC-GS-016","Navigation & Search","Global search entry","Search can be opened from the publication chrome and accepts a reader query.","Header search entry routes to the dedicated Neural Critic search page.","✅","V3","shared header/footer; search.html; category and game links","assets/app.js; assets/publication-nav.js; search.html","static navigation; published article and author metadata","Use the visible navigation/search control → destination renders → canonical internal links remain usable.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared header/footer hosts; app bootstrap; content API","high","2026-09-02","M1","Pre-existing shared navigation/search capability."
